cod_tuss,desc_procediemento,rol_ans,subgrupo,grupo,capitulo
30726174,Lesões ligamentares agudas - tratamento incruento,LESÕES LIGAMENTARES AGUDAS - REDUÇÃO INCRUENTA,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30726182,Lesões ligamentares agudas - tratamento cirúrgico,LESÕES LIGAMENTARES AGUDAS - TRATAMENTO CIRÚRGICO,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30726182,Lesões ligamentares agudas - tratamento cirúrgico,TRATAMENTO CIRÚRGICO DE LESÕES LIGAMENTARES (AGUDAS OU CRÔNICAS),PROCEDIMENTOS GERAIS,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30726190,Lesões ligamentares periféricas crônicas - tratamento cirúrgico,LESÕES LIGAMENTARES PERIFÉRICAS CRÔNICAS - TRATAMENTO CIRÚRGICO,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30726204,Liberação lateral e facectomias - tratamento cirúrgico,LIBERAÇÃO LATERAL E FACECTOMIAS EM JOELHO,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30726212,Meniscorrafia - tratamento cirúrgico,MENISCORRAFIA,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30726220,Osteotomias ao nível do joelho - tratamento cirúrgico,OSTEOTOMIAS AO NÍVEL DO JOELHO - TRATAMENTO CIRÚRGICO,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30726239,Realinhamentos do aparelho extensor - tratamento cirúrgico,REALINHAMENTOS DO APARELHO EXTENSOR EM JOELHO,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30726247,Reconstruções ligamentares do pivot central - tratamento cirúrgico,RECONSTRUÇÕES LIGAMENTARES DO PIVOT CENTRAL DE JOELHO,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30726255,Revisões de artroplastia total - tratamento cirúrgico,REVISÕES DE ARTROPLASTIA TOTAL - TRATAMENTO CIRÚRGICO,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30726255,Revisões de artroplastia total - tratamento cirúrgico,REVISÃO DE ARTROPLASTIA (QUALQUER SEGMENTO),PROCEDIMENTOS GERAIS,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30726263,Revisões de realinhamentos do aparelho extensor - tratamento cirúrgico,REVISÕES DE REALINHAMENTOS DO APARELHO EXTENSOR EM JOELHO,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30726271,Revisões de reconstruções intra-articulares - tratamento cirúrgico,REVISÕES DE RECONSTRUÇÕES INTRA-ARTICULARES DE JOELHO,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30726280,Toalete cirúrgica - correção de joelho flexo - tratamento cirúrgico,TOALETE CIRÚRGICA - CORREÇÃO DE JOELHO FLEXO,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30726298,Transplantes homólogos ao nível do joelho - tratamento cirúrgico,---,---,---,---
30726301,Tratamento cirúrgico de luxações / artrodese / contraturas com fixador externo,ARTRODESE COM OU SEM FIXADOR EXTERNO (DINÂMICO OU NÃO),PROCEDIMENTOS GERAIS,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30726310,Bolsa pré-patelar - ressecção,BURSECTOMIA - TRATAMENTO CIRÚRGICO,"TENDÕES, BURSAS E SINÓVIAS",SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30727014,Alongamento / transporte ósseo / pseudoartrose com fixador externo - perna,ALONGAMENTO / TRANSPORTE ÓSSEO / PSEUDOARTROSE COM FIXADOR EXTERNO (DINÂMICO OU NÃO) - QUALQUER LOCALIZAÇÃO,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30727022,Alongamento com fixador dinâmico - tratamento cirúrgico,ALONGAMENTO COM FIXADOR DINÂMICO - TRATAMENTO CIRÚRGICO,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30727030,Alongamento dos ossos da perna - tratamento cirúrgico,ALONGAMENTO DOS OSSOS DA PERNA - TRATAMENTO CIRÚRGICO,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30727049,Amputação de perna - tratamento cirúrgico,AMPUTAÇÃO DE PERNA - TRATAMENTO CIRÚRGICO,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30727057,Biópsia cirúrgica de tíbia ou fíbula,BIÓPSIA CIRÚRGICA DE TÍBIA OU FÍBULA,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30727065,Correção de deformidade adquirida de tíbia com fixador externo,CORREÇÃO DE DEFORMIDADE ÓSSEA CONGÊNITA OU ADQUIRIDA COM FIXADOR EXTERNO,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30727073,Correção de deformidades congênitas na perna com fixador externo,CORREÇÃO DE DEFORMIDADE ÓSSEA CONGÊNITA OU ADQUIRIDA COM FIXADOR EXTERNO,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30727081,Encurtamento dos ossos da perna - tratamento cirúrgico,ENCURTAMENTO DOS OSSOS DA PERNA - TRATAMENTO CIRÚRGICO,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30727090,Epifisiodese de tíbia/fíbula - tratamento cirúrgico,EPIFISIODESE - TRATAMENTO CIRÚRGICO,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30727090,Epifisiodese de tíbia/fíbula - tratamento cirúrgico,EPIFISIODESE DE TÍBIA / FÍBULA - TRATAMENTO CIRÚRGICO,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30727103,Fratura de osso da perna - tratamento conservador,TRATAMENTO CONSERVADOR DE FRATURA DE OSSOS,PROCEDIMENTOS GERAIS,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30727111,Fraturas de fíbula (inclui o descolamento epifisário) - tratamento cirúrgico,FRATURAS DE FÍBULA (INCLUI O DESCOLAMENTO EPIFISÁRIO) - TRATAMENTO CIRÚRGICO,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30727120,Fraturas de fíbula (inclui descolamento epifisário) - redução incruenta,FRATURAS DE FÍBULA - (INCLUI DESCOLAMENTO EPIFISÁRIO) - REDUÇÃO INCRUENTA,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30727138,Fraturas de tíbia associada ou não a fíbula (inclui descolamento epifisário) - tratamento cirúrgico,FRATURAS DE TÍBIA ASSOCIADA OU NÃO A FÍBULA (INCLUI DESCOLAMENTO EPIFISÁRIO) - TRATAMENTO CIRÚRGICO,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30727146,Fraturas de tíbia e fíbula (inclui descolamento epifisário) - redução incruenta,FRATURAS DE TÍBIA E FÍBULA (INCLUI DESCOLAMENTO EPIFISÁRIO) - REDUÇÃO INCRUENTA,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30727154,Osteomielite dos ossos da perna - tratamento cirúrgico,OSTEOMIELITE DOS OSSOS DA PERNA - TRATAMENTO CIRÚRGICO,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30727162,Osteotomias e/ou pseudartroses - tratamento cirúrgico,OSTEOTOMIAS E/OU PSEUDARTROSES - TRATAMENTO CIRÚRGICO,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30727170,Transposição de fíbula/tíbia - tratamento cirúrgico,TRANSPOSIÇÃO DE FÍBULA/TÍBIA,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30727189,Tratamento cirúrgico de fraturas de tíbia com fixador externo,TRATAMENTO CIRÚRGICO DE FRATURA COM OU SEM FIXADOR EXTERNO (DINÂMICO OU NÃO),PROCEDIMENTOS GERAIS,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30727197,Fratura de dois ossos da perna - tratamento conservador,TRATAMENTO CONSERVADOR DE FRATURA DE OSSOS,PROCEDIMENTOS GERAIS,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30728010,Amputação ao nível do tornozelo - tratamento cirúrgico,AMPUTAÇÃO AO NÍVEL DO TORNOZELO - TRATAMENTO CIRÚRGICO,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30728029,Artrite ou osteoartrite - tratamento cirúrgico,TRATAMENTO CIRÚRGICO DE ARTRITE OU OSTEOARTRITE,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30728037,Artrodese (com ou sem alongamento simultâneo) com fixador externo,ARTRODESE COM OU SEM FIXADOR EXTERNO (DINÂMICO OU NÃO),PROCEDIMENTOS GERAIS,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30728045,Artrodese ao nível do tornozelo - tratamento cirúrgico,ARTRODESE AO NÍVEL DO TORNOZELO - TRATAMENTO CIRÚRGICO,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30728053,Artroplastia de tornozelo (com implante) - tratamento cirúrgico,ARTROPLASTIA DE TORNOZELO (COM IMPLANTE) - TRATAMENTO CIRÚRGICO,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30728061,Artrorrise do tornozelo - tratamento cirúrgico,ARTRORRISE DO TORNOZELO - TRATAMENTO CIRÚRGICO,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30728070,Artrotomia de tornozelo - tratamento cirúrgico,ARTROTOMIA - TRATAMENTO CIRÚRGICO,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30728088,Biópsia cirúrgica do tornozelo,BIÓPSIA CIRÚRGICA DO TORNOZELO,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30728096,Fratura de tornozelo - tratamento conservador,TRATAMENTO CONSERVADOR DE FRATURA DE OSSOS,PROCEDIMENTOS GERAIS,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30728100,Fraturas / pseudartroses / artroses ao nível do tornozelo com fixador externo dinâmico - tratamento cirúrgico,TRATAMENTO CIRÚRGICO DA PSEUDOARTROSE COM OU SEM FIXADOR EXTERNO (DINÂMICO OU NÃO),PROCEDIMENTOS GERAIS,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30728100,Fraturas / pseudartroses / artroses ao nível do tornozelo com fixador externo dinâmico - tratamento cirúrgico,FRATURAS / PSEUDARTROSES / ARTROSES / COM FIXADOR EXTERNO DINÂMICO - TRATAMENTO CIRÚRGICO,MEMBROS SUPERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30728118,Fraturas e/ou luxações ao nível do tornozelo - redução incruenta,FRATURAS E/OU LUXAÇÕES AO NÍVEL DO TORNOZELO - REDUÇÃO INCRUENTA,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30728126,Fraturas e/ou luxações ao nível do tornozelo - tratamento cirúrgico,FRATURAS E/OU LUXAÇÕES AO NÍVEL DO TORNOZELO - TRATAMENTO CIRÚRGICO,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30728134,Lesões ligamentares agudas ao nível do tornozelo - tratamento incruento,LESÕES LIGAMENTARES AGUDAS AO NÍVEL DO TORNOZELO - REDUÇÃO INCRUENTA,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30728142,Lesões ligamentares agudas ao nível do tornozelo - tratamento cirúrgico,LESÕES LIGAMENTARES AGUDAS AO NÍVEL DO TORNOZELO - TRATAMENTO CIRÚRGICO,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30728150,Lesões ligamentares crônicas ao nível do tornozelo - tratamento cirúrgico,LESÕES LIGAMENTARES CRÔNICAS AO NÍVEL DO TORNOZELO - TRATAMENTO CIRÚRGICO,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30728169,Osteocondrite de tornozelo - tratamento cirúrgico,TRATAMENTO CIRÚRGICO DA OSTEOCONDRITE DE TORNOZELO,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30728177,Pseudartroses ou osteotomias ao nível do tornozelo - tratamento cirúrgico,TRATAMENTO CIRÚRGICO DA PSEUDOARTROSE COM OU SEM FIXADOR EXTERNO (DINÂMICO OU NÃO),PROCEDIMENTOS GERAIS,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30728177,Pseudartroses ou osteotomias ao nível do tornozelo - tratamento cirúrgico,"PSEUDARTROSES, OSTEOTOMIAS, ALONGAMENTOS/ENCURTAMENTOS - TRATAMENTO CIRÚRGICO",MEMBROS SUPERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30729017,Amputação ao nível do pé - tratamento cirúrgico,AMPUTAÇÃO AO NÍVEL DO PÉ - TRATAMENTO CIRÚRGICO,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30729025,Amputação/desarticulação de pododáctilos (por segmento) - tratamento cirúrgico,AMPUTAÇÃO/DESARTICULAÇÃO DE PODODÁCTILOS - TRATAMENTO CIRÚRGICO,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30729033,Artrite ou osteoartrite dos ossos do pé (inclui osteomielite) - tratamento cirúrgico,ARTRITE OU OSTEOARTRITE DOS OSSOS DO PÉ (INCLUI OSTEOMIELITE) - TRATAMENTO CIRÚRGICO,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30729041,Artrodese de tarso e/ou médio pé - tratamento cirúrgico,ARTRODESE DE TARSO E/OU MÉDIO PÉ - TRATAMENTO CIRÚRGICO,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30729050,Artrodese metatarso - falângica ou interfalângica - tratamento cirúrgico,ARTRODESE METATARSO - FALÂNGICA OU INTERFALÂNGICA - TRATAMENTO CIRÚRGICO,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30729068,Biópsia cirúrgica dos ossos do pé,BIÓPSIA CIRÚRGICA DOS OSSOS DO PÉ,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30729084,Correção de deformidades do pé com fixador externo dinâmico - tratamento cirúrgico,CORREÇÃO DE DEFORMIDADES DO PÉ COM FIXADOR EXTERNO DINÂMICO - TRATAMENTO CIRÚRGICO,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30729092,Correção de pé torto congênito com fixador externo,TRATAMENTO CIRÚRGICO DO PÉ TORTO CONGÊNITO COM OU SEM FIXADOR EXTERNO,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30729106,Deformidade dos dedos - tratamento cirúrgico,TRATAMENTO CIRÚRGICO DE DEFORMIDADES DOS DEDOS,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30729114,Exérese ungueal,EXÉRESE DE UNHA,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO, MUCOSAS E ANEXOS",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30729122,Fasciotomia ou ressecção de fascia plantar - tratamento cirúrgico,FASCIOTOMIA OU RESSECÇÃO DE FASCIA PLANTAR,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30729130,Fratura de osso do pé - tratamento conservador,TRATAMENTO CONSERVADOR DE FRATURA DE OSSOS,PROCEDIMENTOS GERAIS,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30729149,Fratura e/ou luxações do pé (exceto antepé) - redução incruenta,FRATURA E/OU LUXAÇÕES DO PÉ (EXCETO ANTEPÉ) - REDUÇÃO INCRUENTA,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30729157,Fratura e/ou luxações do pé (exceto antepé) - tratamento cirúrgico,FRATURA E/OU LUXAÇÕES DO PÉ (EXCETO ANTEPÉ) - TRATAMENTO CIRÚRGICO,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30729165,Fraturas e/ou luxações do antepé - redução incruenta,FRATURAS E/OU LUXAÇÕES DO ANTEPÉ - REDUÇÃO INCRUENTA,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30729173,Fraturas e/ou luxações do antepé - tratamento cirúrgico,FRATURAS E/OU LUXAÇÕES DO ANTEPÉ - TRATAMENTO CIRÚRGICO,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30729181,Hallux valgus (um pé) - tratamento cirúrgico,TRATAMENTO CIRÚRGICO DO HALLUX VALGUS,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30729190,Osteotomia ou pseudartrose do tarso e médio pé - tratamento cirúrgico,OSTEOTOMIA OU PSEUDARTROSE DO TARSO E MÉDIO PÉ - TRATAMENTO CIRÚRGICO,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30729203,Osteotomia ou pseudartrose dos metatarsos/falanges - tratamento cirúrgico,OSTEOTOMIA OU PSEUDARTROSE DOS METATARSOS/FALANGES - TRATAMENTO CIRÚRGICO,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30729211,Osteotomias / fraturas com fixador externo,OSTEOTOMIA COM OU SEM FIXADOR EXTERNO (DINÂMICO OU NÃO),PROCEDIMENTOS GERAIS,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30729220,Pé plano/pé cavo/coalisão tarsal - tratamento cirúrgico,TRATAMENTO CIRÚRGICO DO PÉ PLANO/PÉ CAVO/COALISÃO TARSAL,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30729238,Pé torto congênito (um pé) - tratamento cirúrgico,TRATAMENTO CIRÚRGICO DO PÉ TORTO CONGÊNITO COM OU SEM FIXADOR EXTERNO,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30729246,Ressecção de osso do pé - tratamento cirúrgico,RESSECÇÃO DE OSSO DO PÉ,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30729254,Retração cicatricial dos dedos,TRATAMENTO DA RETRAÇÃO CICATRICIAL DOS DEDOS,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30729262,Rotura do tendão de Aquiles - tratamento incruento,ROTURA DO TENDÃO DE AQUILES - REDUÇÃO INCRUENTA,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30729270,Rotura do tendão de Aquiles - tratamento cirúrgico,ROTURA DO TENDÃO DE AQUILES - TRATAMENTO CIRÚRGICO,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30729289,Tratamento cirúrgico da sindactilia complexa e /ou múltipla,"TRATAMENTO CIRÚRGICO DA SINDACTILIA SIMPLES, COMPLEXA OU MÚLTIPLA",MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30729297,Tratamento cirúrgico da sindactilia simples,"TRATAMENTO CIRÚRGICO DA SINDACTILIA SIMPLES, COMPLEXA OU MÚLTIPLA",MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30729300,Tratamento cirúrgico de gigantismo,TRATAMENTO CIRÚRGICO DE GIGANTISMO EM PÉ,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30729319,Tratamento cirúrgico de linfedema ao nível do pé,TRATAMENTO CIRÚRGICO DE LINFEDEMA AO NÍVEL DO PÉ,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30729327,Tratamento cirúrgico de polidactilia múltipla e/ou complexa,"TRATAMENTO CIRÚRGICO DE POLIDACTILIA SIMPLES, COMPLEXA OU MÚLTIPLA",MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30729335,Tratamento cirúrgico de polidactilia simples,"TRATAMENTO CIRÚRGICO DE POLIDACTILIA SIMPLES, COMPLEXA OU MÚLTIPLA",MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
30729343,Tratamento cirúrgico do mal perfurante plantar,TRATAMENTO CIRÚRGICO DO MAL PERFURANTE PLANTAR,MEMBROS INFERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
